Country,Year,Status,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,polio(deaths/1000),Total expenditure,Diphtheria (deaths/1000), HIV/AIDS(impact),GDP,Population, thinness  10-19 years, thinness 5-9 years,Income composition of resources,Schooling,COVID ,Life expectancy ,,,,
United Kingdom of Great Britain and Northern Ireland,2001,Developed,78,4,10.91,3.12,75.00,73,58.20,4,91,7.31,91.00,0.1,27745.00,59124288,0.70,0.50,0.80,15.60,1.00,77.75,,,,
United Kingdom of Great Britain and Northern Ireland,2000,Developed,77.8,4,10.59,31.51,75.00,104,57.50,5,91,6.94,91.00,0.1,28150.00,58923309,0.70,0.50,0.79,15.70,0.00,77.60,,,,
italy,2021,Developed,53,2,7.37,5241.30,93.00,168,64.60,2,91,9.60,94.00,0.1,37841.01,67408386,0.65,0.68,0.90,16.40,205.60,82.30,,,,
italy,2020,Developed,55,1,7.40,5210.20,92.00,125,64.10,3,92,9.55,95.00,0.1,38210.30,67525909,0.70,0.65,0.91,16.50,165.30,83.10,,,,
Italy,2019,Developed,54,1,7.38,5123.20,91.00,153,64.80,2,91,9.35,95.00,0.1,38494.76,67650446,0.70,0.70,0.92,16.60,1.00,83.57,,,,
Italy,2018,Developed,55,1,7.56,5323.64,95.00,98,64.50,3,96,9.32,93.00,0.1,37599.76,67602390,0.60,0.70,0.91,16.40,0.00,83.28,,,,
Italy,2017,Developed,55,1,7.02,5200.64,96.00,126,64.20,4,92,9.40,91.00,0.1,36704.76,67554334,0.60,0.50,0.91,16.40,1.00,83.10,,,,
Italy,2016,Developed,56,1,7.20,5077.64,95.00,230,63.90,2,92,9.16,92.00,0.1,35809.76,67506278,0.60,0.60,0.90,16.30,0.00,82.91,,,,
Italy,2015,Developed,56,1,7.38,4954.64,93.00,159,63.60,2,93,9.40,93.00,0.1,34914.76,67358222,0.60,0.60,0.88,16.30,3.00,82.70,,,,
Italy,2014,Developed,57,2,7.56,4831.64,95.00,0,63.10,2,95,9.25,95.00,0.1,35396.67,67891452,0.60,0.60,0.88,16.30,0.00,82.50,,,,
Italy,2013,Developed,58,2,7.35,483.19,96.00,0,62.60,2,96,9.22,96.00,0.1,35372.74,62339483,0.50,0.60,0.88,16.50,1.00,82.30,,,,
Italy,2012,Developed,59,2,7.49,4793.90,96.00,376,62.10,2,96,9.28,97.00,0.1,34814.12,59539717,0.50,0.60,0.88,16.60,2.00,82.00,,,,
Italy,2011,Developed,60,2,6.98,5439.69,96.00,5189,61.50,2,96,9.27,96.00,0.1,38334.68,59379449,0.50,0.50,0.87,16.40,0.00,82.00,,,,
Italy,2010,Developed,61,2,6.95,5219.67,96.00,372,61.00,2,96,9.42,96.00,0.1,35849.37,59277417,0.50,0.50,0.87,16.40,1.00,81.80,,,,
Italy,2009,Developed,61,2,7.25,5243.32,96.00,351,6.50,2,96,9.41,96.00,0.1,36976.85,59953656,0.50,0.50,0.87,16.30,0.00,81.60,,,,
Italy,2008,Developed,61,2,7.96,66.38,96.00,1617,59.90,2,96,8.89,96.00,0.1,34641.85,58826731,0.50,0.50,0.87,16.30,2.00,81.50,,,,
Italy,2007,Developed,63,2,8.37,5228.82,97.00,321,59.40,2,97,8.48,97.00,0.1,37698.79,58438311,0.50,0.50,0.86,16.10,1.00,81.30,,,,
Italy,2006,Developed,65,2,8.44,473.19,96.00,439,58.80,2,97,8.82,96.00,0.1,3341.75,58143979,0.50,0.50,0.86,16.00,0.00,81.20,,,,
Italy,2005,Developed,66,2,8.65,4506.26,96.00,135,58.20,2,97,8.71,95.00,0.1,31959.26,57969484,0.50,0.50,0.85,15.80,3.00,80.78,,,,
Italy,2004,Developed,66,2,8.98,4270.91,96.00,599,57.60,3,97,8.49,94.00,0.1,31174.56,57685327,0.50,0.50,0.85,15.60,0.00,80.53,,,,
Italy,2003,Developed,72,2,9.30,3519.26,95.00,10982,57.00,3,97,8.17,96.00,0.1,27387.23,57313231,0.50,0.50,0.84,15.40,1.00,80.29,,,,
Italy,2002,Developed,72,2,9.25,2883.33,95.00,9385,56.40,3,96,8.23,93.00,0.1,22196.57,57597223,0.50,0.50,0.84,15.20,0.00,80.00,,,,
Italy,2001,Developed,75,2,9.69,3.12,95.00,0,55.70,3,96,8.11,93.00,0.1,24.82,56974112,0.50,0.50,0.83,14.90,1.00,79.80,,,,
Italy,2000,Developed,77,3,9.78,31.51,94.00,1457,55.00,3,97,7.91,87.00,0.1,251.24,56942181,0.50,0.50,0.82,14.80,0.00,79.40,,,,
Spain,2021,Developed,42,1,8.86,4215.30,95.00,136,67.30,1,96,9.50,96.00,0.1,26142.30,46696662,0.40,0.40,0.91,18.10,168.50,81.40,,,,
Spain,2020,Developed,49,1,8.90,4102.30,94.00,124,67.70,1,96,9.42,96.00,0.1,26541.20,46842457,0.50,0.40,0.91,18.30,140.50,82.50,,,,
Spain,2019,Developed,52,1,8.86,4223.68,94.00,103,67.90,1,95,9.23,95.00,0.1,27753.85,46857033,0.50,0.40,0.92,18.40,1.00,83.49,,,,
Spain,2018,Developed,53,1.5,8.91,4255.78,96.00,154,67.60,1,97,9.33,96.00,0.1,31717.23,46754699,0.60,0.50,0.92,18.60,0.00,83.36,,,,
Spain,2017,Developed,54,1,8.96,4873.82,95.00,131,67.30,1,96,9.25,95.00,0.1,26718.85,46652365,0.60,0.40,0.91,18.30,0.00,83.19,,,,
Spain,2016,Developed,55,1,9.01,578.74,96.00,124,67.00,1,96,9.17,97.00,0.1,30682.23,46550031,0.60,0.40,0.90,18.10,2.00,83.02,,,,
Spain,2015,Developed,56,1,9.06,5047.25,97.00,115,66.60,1,97,9.09,97.00,0.1,25683.85,46447697,0.60,0.50,0.88,17.70,0.00,82.80,,,,
Spain,2014,Developed,58,1,9.11,42.99,96.00,154,66.00,1,97,9.30,97.00,0.1,29647.23,46488823,0.60,0.50,0.88,17.60,1.00,82.60,,,,
Spain,2013,Developed,60,1,9.25,423.68,95.00,131,65.40,2,96,9.10,96.00,0.1,29219.34,46624512,0.60,0.50,0.87,17.50,1.00,82.40,,,,
Spain,2012,Developed,61,1,9.35,4255.78,96.00,1204,64.80,2,97,9.39,97.00,0.1,28562.29,46773551,0.60,0.50,0.87,17.20,1.00,82.00,,,,
Spain,2011,Developed,63,1,9.62,4873.82,97.00,3802,64.10,2,97,9.48,97.00,0.1,31834.22,46742697,0.60,0.50,0.87,16.90,0.00,82.10,,,,
Spain,2010,Developed,64,1,9.78,578.74,97.00,302,63.50,2,97,9.56,97.00,0.1,37362.28,46576897,0.60,0.50,0.86,16.40,3.00,81.90,,,,
Spain,2009,Developed,66,2,9.99,5047.25,96.00,41,62.90,2,96,9.52,96.00,0.1,32333.47,46362946,0.60,0.50,0.86,16.30,1.00,81.60,,,,
Spain,2008,Developed,70,2,10.24,5596.54,97.00,297,62.30,2,97,8.80,97.00,0.1,35578.74,45954163,0.60,0.50,0.85,16.10,1.00,81.30,,,,
Spain,2007,Developed,72,2,11.05,510.93,96.00,267,61.70,2,96,8.36,96.00,0.1,32794.14,45226834,0.60,0.50,0.85,16.00,2.00,80.96,,,,
Spain,2006,Developed,73,2,11.86,4460.39,97.00,362,61.10,2,98,8.23,98.00,0.1,28482.69,44397319,0.60,0.50,0.84,15.90,1.00,80.70,,,,
Spain,2005,Developed,77,2,11.92,405.45,96.00,22,6.50,2,96,8.12,96.00,0.1,26517.17,43653155,0.60,0.50,0.84,15.80,0.00,80.43,,,,
Spain,2004,Developed,79,2,11.96,3715.37,97.00,26,59.90,2,97,8.50,97.00,0.1,24918.65,42921895,0.60,0.50,0.83,15.60,0.00,80.17,,,,
Spain,2003,Developed,83,2,12.09,3205.02,81.00,256,59.30,2,99,7.99,98.00,0.1,21495.77,42187645,0.60,0.50,0.83,15.60,1.00,79.40,,,,
Spain,2002,Developed,83,2,12.26,228.35,82.00,67,58.80,2,98,7.25,98.00,0.1,17195.35,41431558,0.60,0.50,0.83,15.70,1.00,79.50,,,,
Spain,2001,Developed,84,2,9.86,2044.17,83.00,0,58.20,2,95,7.24,96.00,0.1,15323.61,48541241,0.60,0.50,0.83,15.70,2.00,79.40,,,,
Spain,2000,Developed,86,2,11.12,1934.40,77.00,152,57.60,2,95,7.21,95.00,0.1,14676.77,45678643,0.60,0.50,0.82,15.70,1.00,79.10,,,,
Germany,2021,Developed,59,1,9.41,1021.30,85.00,652,61.40,2,93,11.23,95.00,0.1,46871.30,89666181,1.00,1.00,0.90,17.20,103.25,79.50,,,,
Germany,2020,Developed,54,1,9.64,998.20,86.00,412,61.30,2,94,11.50,94.00,0.1,47123.00,89707434,1.00,1.00,0.91,17.30,84.30,80.30,,,,
Germany,2019,Developed,48,1,9.78,941.76,85.00,756,60.70,2,93,11.56,94.00,0.1,47326.20,89739579,1.00,1.00,0.92,17.50,1.00,81.26,,,,
Germany,2018,Developed,49,2,10.03,895.88,86.00,857,61.10,2.6,93,11.43,94.00,0.1,48265.30,89226337,1.10,1.10,0.92,17.40,1.00,81.10,,,,
Germany,2017,Developed,52,2,10.28,839.91,87.00,968,61.50,2.5,93,11.30,94.00,0.1,48652.12,88713095,1.10,1.10,0.93,17.30,1.00,80.97,,,,
Germany,2016,Developed,54,2,10.53,869.79,87.00,1253,61.90,3,93,11.46,94.00,0.1,49157.53,88199853,1.10,1.10,0.93,17.20,0.00,80.84,,,,
Germany,2015,Developed,68,2,10.78,7584.08,88.00,2464,62.30,3,94,11.43,95.00,0.1,41176.88,87686611,1.10,1.10,0.92,17.10,2.00,80.70,,,,
Germany,2014,Developed,69,2,11.03,941.76,88.00,443,61.90,3,94,11.30,95.00,0.1,47926.53,87825112,1.10,1.10,0.92,17.00,0.00,80.57,,,,
Germany,2013,Developed,71,2,10.94,895.88,88.00,1771,61.40,3,94,11.16,95.00,0.1,46539.11,86456523,1.10,1.10,0.92,16.90,1.00,80.44,,,,
Germany,2012,Developed,71,2,11.18,839.91,88.00,166,6.90,3,94,1.99,95.00,0.1,44652.49,84258231,1.10,1.10,0.92,16.90,1.00,80.30,,,,
Germany,2011,Developed,74,2,11.20,869.79,88.00,1607,6.40,3,94,1.93,95.00,0.1,46813.28,82749835,1.10,1.10,0.91,16.80,1.00,80.16,,,,
Germany,2010,Developed,76,2,11.20,7584.08,88.00,780,59.90,3,94,11.25,95.00,0.1,41785.56,81776933,1.10,1.10,0.91,16.70,1.00,80.01,,,,
Germany,2009,Developed,79,2,11.22,7641.27,88.00,574,59.50,3,95,11.40,96.00,0.1,41732.77,81923791,1.10,1.10,0.91,16.70,0.00,79.87,,,,
Germany,2008,Developed,80,2,11.36,8285.26,87.00,917,59.00,3,95,10.39,96.00,0.1,45699.20,82119735,1.10,1.10,0.90,16.60,1.00,79.73,,,,
Germany,2007,Developed,82,3,11.50,7777.56,86.00,567,58.50,3,95,10.18,96.00,0.1,41814.82,82266372,1.10,1.10,0.90,16.60,0.00,79.51,,,,
Germany,2006,Developed,84,3,11.76,6407.54,87.00,2307,58.00,3,94,10.34,96.00,0.1,36447.87,82376451,1.10,1.10,0.89,16.50,1.00,79.29,,,,
Germany,2005,Developed,85,3,11.67,6012.93,89.00,778,57.60,3,95,10.52,96.00,0.1,34696.63,82469422,1.10,1.10,0.88,16.40,0.00,79.06,,,,
Germany,2004,Developed,86,3,11.83,5842.37,88.00,121,57.10,3,96,10.37,96.00,0.1,34165.93,82516263,1.10,1.10,0.88,16.40,0.00,78.84,,,,
Germany,2003,Developed,90,3,11.92,582.62,89.00,779,56.60,4,96,10.62,97.00,0.1,3359.95,82534176,1.10,1.10,0.87,16.30,3.00,78.50,,,,
Germany,2002,Developed,91,3,12.25,437.11,87.00,4657,56.10,4,97,10.40,93.00,0.1,2525.16,82488495,1.20,1.10,0.87,16.30,1.00,78.40,,,,
Germany,2001,Developed,92,3,12.46,4057.64,86.00,6024,55.60,4,96,10.15,93.00,0.1,23687.32,82349925,1.20,1.10,0.86,16.20,1.00,78.30,,,,
Germany,2000,Developed,95,3,12.91,4238.54,84.00,0,55.10,4,94,10.10,90.00,0.1,23718.75,82211581,1.20,1.20,0.86,16.20,1.00,77.83,,,,
Argentina,2021,Developing,115,8,7.30,915.30,94.00,13,64.10,9,94,5.21,93.00,0.1,11952.30,46464890,0.90,0.80,0.82,17.20,155.25,75.09,,,,
Argentina,2020,Developing,102,7,7.20,802.50,94.00,10,64.80,9,95,5.13,92.00,0.1,12002.30,46496131,0.80,0.82,0.83,17.40,110.50,76.01,,,,
Argentina,2019,Developing,85,7,7.18,953.20,94.00,0,65.20,9,94,4.19,91.00,0.1,12245.26,46626345,0.90,0.85,0.83,17.50,1.00,76.59,,,,
Argentina,2018,Developing,91,7,7.33,1246.32,94.00,6,64.60,9,93,4.31,93.00,0.1,12976.64,45824200,0.90,0.90,0.83,17.40,0.00,76.45,,,,
Argentina,2017,Developing,95,8,7.48,1001.80,93.00,3,64.00,9,92,4.43,92.00,0.1,12969.77,45022055,0.90,0.85,0.83,17.50,1.00,76.26,,,,
Argentina,2016,Developing,102,8,7.63,1133.56,94.00,2,63.40,9,92,4.55,93.00,0.1,12726.98,44219910,1.00,0.85,0.83,17.40,0.00,76.14,,,,
Argentina,2015,Developing,110,8,7.78,1504.33,94.00,0,62.80,9,93,4.67,94.00,0.1,13467.12,43417765,1.00,0.90,0.83,17.30,2.00,75.98,,,,
Argentina,2014,Developing,115,8,7.93,187.61,94.00,1,62.20,9,92,4.79,94.00,0.1,12245.26,42981515,1.00,0.90,0.83,17.30,0.00,75.83,,,,
Argentina,2013,Developing,119,8,8.28,1001.80,94.00,0,61.60,10,99,4.99,94.00,0.1,12976.64,42539925,1.00,0.90,0.82,17.30,3.00,75.67,,,,
Argentina,2012,Developing,122,9,8.35,1133.56,91.00,2,61.00,10,99,5.20,91.00,0.1,12969.77,42967391,1.00,0.90,0.82,17.20,1.00,75.51,,,,
Argentina,2011,Developing,121,9,8.11,1504.33,91.00,3,6.40,10,93,5.89,91.00,0.1,12726.98,41656879,1.00,0.90,0.82,17.10,0.00,75.35,,,,
Argentina,2010,Developing,121,10,8.15,187.61,94.00,17,59.80,11,95,6.55,94.00,0.1,1276.27,41223889,1.00,0.90,0.80,16.80,1.00,75.19,,,,
Argentina,2009,Developing,126,10,8.33,1398.04,94.00,3,59.20,11,97,7.63,94.00,0.1,8161.37,47994721,1.00,0.90,0.79,16.50,1.00,75.03,,,,
Argentina,2008,Developing,126,10,8.41,1413.74,90.00,0,58.60,11,94,6.66,93.00,0.1,8953.36,43823893,1.00,0.90,0.79,16.30,1.00,74.87,,,,
Argentina,2007,Developing,129,10,8.16,1105.66,85.00,0,58.00,12,92,6.49,91.00,0.1,7193.62,39972241,1.10,0.90,0.79,16.30,0.00,74.80,,,,
Argentina,2006,Developing,127,11,7.75,961.18,84.00,0,57.50,12,92,6.68,91.00,0.1,5878.76,39558893,1.10,0.90,0.78,16.10,2.00,74.53,,,,
Argentina,2005,Developing,127,11,7.53,96.17,88.00,0,56.90,12,95,6.85,98.00,0.1,576.88,39145488,1.10,1.00,0.78,16.30,1.00,74.36,,,,
Argentina,2004,Developing,130,11,7.63,719.37,81.00,0,56.30,12,91,6.84,98.00,0.1,4251.57,38728696,1.10,1.00,0.78,16.30,1.00,74.19,,,,
Argentina,2003,Developing,137,11,7.62,57.58,73.00,0,55.70,13,95,8.22,96.00,0.1,333.44,38393791,1.20,1.00,0.77,16.40,1.00,74.02,,,,
Argentina,2002,Developing,138,12,7.81,470.19,66.00,0,55.10,13,94,8.31,93.00,0.1,2579.19,37889371,1.20,1.00,0.78,16.30,0.00,73.84,,,,
Argentina,2001,Developing,138,12,7.76,123.01,65.00,0,54.60,13,85,9.38,83.00,0.1,717.69,37471592,1.20,1.10,0.77,15.60,1.00,73.66,,,,
Argentina,2000,Developing,137,12,7.68,1349.03,62.00,6,54.00,14,88,9.21,83.00,0.1,7669.27,37574523,1.20,1.10,0.76,15.00,1.00,73.48,,,,
Colombia,2021,Developing,153,11,4.31,146.90,91.00,2,58.60,10,92,7.62,91.00,0.1,7124.20,51278560,2.10,1.80,0.76,13.60,159.25,75.29,,,,
Colombia,2020,Developing,150,10,4.30,145.30,90.00,1,58.80,11,91,7.82,91.00,0.1,7423.00,51403096,2.20,1.80,0.76,13.80,87.50,76.30,,,,
Colombia,2019,Developing,142,9,4.29,143.24,89.00,1,59.10,10,91,7.95,89.00,0.1,7727.26,51434521,2.01,1.80,0.77,13.90,1.00,77.19,,,,
Colombia,2018,Developing,143,10,4.29,151.16,90.00,1,58.90,11,90,7.80,91.00,0.1,6985.26,50633065,2.00,1.80,0.76,13.80,2.00,77.02,,,,
Colombia,2017,Developing,142,11,4.32,1487.90,92.00,2,58.30,13,91,7.65,91.00,0.1,6805.26,49831609,2.10,1.90,0.75,13.70,1.00,76.81,,,,
Colombia,2016,Developing,144,10,4.32,184.31,91.00,0,58.10,12,91,7.50,85.00,0.1,6625.26,49030153,2.10,1.90,0.74,13.70,0.00,76.61,,,,
Colombia,2015,Developing,143,10,4.35,113.24,91.00,1,57.90,12,85,7.35,91.00,0.1,6445.26,48228697,2.10,1.90,0.72,13.60,1.00,76.40,,,,
Colombia,2014,Developing,144,11,4.38,1435.49,90.00,0,57.20,12,90,7.20,90.00,0.1,7913.38,47791911,2.10,1.90,0.72,13.60,1.00,76.20,,,,
Colombia,2013,Developing,145,11,4.41,1516.26,91.00,1,56.40,13,91,6.84,91.00,0.1,8358.63,47342981,2.10,1.90,0.71,13.30,3.00,75.99,,,,
Colombia,2012,Developing,143,11,4.44,1487.90,92.00,1,55.70,13,91,6.93,91.00,0.1,7884.98,46881475,2.10,1.90,0.71,13.20,1.00,75.76,,,,
Colombia,2011,Developing,144,12,4.37,1843.07,85.00,6,55.00,14,85,6.64,85.00,0.1,7227.74,46466461,2.20,2.00,0.70,13.00,1.00,75.53,,,,
Colombia,2010,Developing,150,12,4.28,1132.44,88.00,0,54.20,15,88,6.76,88.00,0.1,6256.55,45918972,2.20,2.00,0.70,12.80,1.00,75.29,,,,
Colombia,2009,Developing,150,13,4.34,941.65,92.00,0,53.50,15,92,7.10,92.00,0.1,5148.42,45416181,2.20,2.00,0.69,12.40,2.00,75.06,,,,
Colombia,2008,Developing,146,14,4.45,978.07,92.00,0,52.80,16,92,6.62,92.00,0.1,5433.72,44915443,2.30,2.00,0.68,12.20,1.00,74.83,,,,
Colombia,2007,Developing,144,14,4.66,780.59,93.00,0,52.00,17,93,6.25,93.00,0.1,4674.22,44374572,2.30,2.10,0.68,11.90,1.00,74.59,,,,
Colombia,2006,Developing,147,15,4.53,624.37,93.00,0,51.30,17,94,6.11,93.00,0.1,3797.88,43835722,2.30,2.10,0.67,11.50,3.00,74.36,,,,
Colombia,2005,Developing,144,15,4.38,531.98,93.00,0,5.50,18,93,5.82,93.00,0.1,3386.26,43285634,2.40,2.10,0.66,11.10,1.00,74.12,,,,
Colombia,2004,Developing,148,16,4.26,421.80,89.00,0,49.80,19,89,5.37,89.00,0.1,274.25,42724163,2.40,2.20,0.66,11.30,1.00,73.89,,,,
Colombia,2003,Developing,150,16,4.25,417.80,92.00,0,49.00,19,92,5.92,92.00,0.1,2246.26,42152151,2.50,2.20,0.66,11.60,1.00,73.65,,,,
Colombia,2002,Developing,163,17,4.45,393.88,78.00,139,48.20,20,83,5.67,81.00,0.1,2355.73,41572491,2.50,2.30,0.66,11.50,1.00,73.35,,,,
Colombia,2001,Developing,165,17,4.43,404.42,80.00,3,47.50,21,83,5.96,80.00,0.1,2395.86,39498899,2.50,2.30,0.65,11.40,1.00,73.04,,,,
Colombia,2000,Developing,167,18,4.66,477.13,78.00,1,46.70,21,82,5.91,79.00,0.1,2472.20,39244395,2.60,2.30,0.65,11.30,0.00,72.74,,,,
Poland,2021,Developed,165,1,11.58,2851.30,95.00,3,62.80,1,94,7.21,97.00,0.1,15987.21,38826560,1.82,1.84,0.86,16.30,187.50,77.06,,,,
Poland,2020,Developed,160,1,11.50,2785.40,95.00,12,63.20,1,93,7.02,97.00,0.1,16201.30,38858705,1.80,1.84,0.87,16.50,102.50,77.98,,,,
Poland,2019,Developed,112,1,11.46,2702.32,95.00,2,63.50,1,93,6.84,97.00,0.1,16707.03,39001241,1.81,1.85,0.88,16.70,1.00,78.62,,,,
Poland,2018,Developed,117,1,11.31,2758.08,95.00,36,63.10,1,94,6.72,97.00,0.1,15471.03,38886957,1.80,1.90,0.87,16.70,1.00,78.46,,,,
Poland,2017,Developed,116,2,11.16,2678.08,96.00,15,62.70,2,95,6.60,98.00,0.1,14235.03,38874562,1.90,2.10,0.86,16.60,1.00,78.20,,,,
Poland,2016,Developed,115,2,11.01,2598.08,96.00,12,62.30,2,95,6.59,98.00,0.1,13801.99,38812959,1.90,2.00,0.86,16.40,2.00,77.94,,,,
Poland,2015,Developed,117,2,10.86,2518.08,96.00,0,61.70,2,96,6.47,98.00,0.1,12565.99,37986412,1.90,2.00,0.85,16.40,1.00,77.50,,,,
Poland,2014,Developed,121,2,10.71,2438.08,96.00,0,61.10,2,94,6.35,98.00,0.1,14341.68,38117353,1.90,2.10,0.85,16.40,2.00,77.30,,,,
Poland,2013,Developed,122,2,11.63,2343.53,96.00,84,60.40,2,95,6.40,99.00,0.1,13785.49,38419671,2.00,2.10,0.84,15.40,1.00,77.10,,,,
Poland,2012,Developed,125,2,10.81,2300.40,97.00,71,59.70,2,95,6.62,99.00,0.1,13145.15,38631646,2.00,2.10,0.83,15.30,21.00,76.80,,,,
Poland,2011,Developed,128,2,10.93,2500.77,98.00,0,59.10,2,96,6.70,99.00,0.1,13893.19,38632555,2.00,2.20,0.83,15.40,0.00,76.70,,,,
Poland,2010,Developed,130,2,10.59,2204.92,98.00,13,58.40,2,96,6.88,99.00,0.1,12599.52,38427943,2.10,2.20,0.82,15.10,1.00,76.30,,,,
Poland,2009,Developed,136,2,10.70,1299.16,98.00,115,57.80,3,96,7.12,99.00,0.1,11527.59,38151632,2.10,2.30,0.82,15.10,0.00,75.70,,,,
Poland,2008,Developed,140,2,11.40,1571.47,98.00,0,57.20,3,96,6.88,99.00,0.1,14144.69,38125759,2.20,2.30,0.81,15.00,1.00,75.50,,,,
Poland,2007,Developed,144,2,10.90,1430.42,98.00,40,56.60,3,99,6.28,99.00,0.1,11263.19,38125631,2.20,2.40,0.81,15.00,0.00,75.30,,,,
Poland,2006,Developed,144,2,10.40,914.56,98.00,120,56.00,3,99,6.17,99.00,0.1,9477.26,38141267,2.30,2.40,0.80,15.00,1.00,75.20,,,,
Poland,2005,Developed,144,2,9.50,794.15,98.00,13,55.50,3,99,6.20,99.00,0.1,8212.52,38165445,2.30,2.50,0.80,14.80,0.00,75.00,,,,
Poland,2004,Developed,143,2,9.19,648.07,98.00,11,55.00,3,99,6.19,99.00,0.1,6681.18,38182222,2.40,2.50,0.80,15.50,1.00,74.90,,,,
Poland,2003,Developed,142,3,9.06,542.02,97.00,48,54.50,3,98,6.22,99.00,0.1,5693.52,38245751,2.40,2.60,0.80,15.30,0.00,74.70,,,,
Poland,2002,Developed,145,3,8.02,516.06,98.00,34,54.00,3,98,6.32,99.00,0.1,5196.93,38233641,2.50,2.60,0.79,15.00,1.00,74.50,,,,
Poland,2001,Developed,149,3,7.74,466.74,95.00,133,53.60,3,98,5.86,98.00,0.1,4981.20,38248760,2.50,2.70,0.78,14.70,0.00,74.20,,,,
Poland,2000,Developed,153,3,8.40,412.43,99.00,77,53.10,4,98,5.50,98.00,0.1,4492.73,38258629,2.50,2.80,0.78,14.60,1.00,73.70,,,,
Iran ,2021,Developing,102,21,0.02,484.00,96.00,21,61.60,18,97,7.82,97.00,0.1,5002.00,82658952,8.60,9.00,0.75,14.80,92.18,74.79,,,,
Iran ,2020,Developing,95,17,0.02,478.00,97.00,31,62.10,19,97,7.61,97.00,0.1,5210.00,82801483,8.70,8.90,0.78,15.00,43.20,75.23,,,,
Iran ,2019,Developing,85,16,0.01,458.00,97.00,12,62.50,19,97,7.21,97.00,0.1,5450.00,82913906,8.70,8.80,0.79,15.40,2.00,76.55,,,,
Iran ,2018,Developing,77,17,0.01,379.00,97.00,85,61.80,19,97,7.24,98.00,0.1,5550.00,81800188,8.65,8.70,0.79,15.30,1.00,76.35,,,,
Iran ,2017,Developing,78,17,0.01,387.00,97.00,90,61.10,21,97,7.18,98.00,0.1,5520.00,80673883,8.60,8.58,0.78,15.10,1.00,76.09,,,,
Iran ,2016,Developing,80,18,0.02,399.00,98.00,95,60.40,20,98,7.13,98.00,0.1,5253.00,79563989,8.60,8.65,0.78,15.00,1.00,75.83,,,,
Iran ,2015,Developing,83,18,0.01,365.00,98.00,615,59.70,21,98,7.01,98.00,0.1,4904.00,78492215,8.50,8.60,0.77,14.80,2.00,75.56,,,,
Iran ,2014,Developing,83,19,0.01,419.00,99.00,99,58.50,22,99,6.89,99.00,0.1,5586.00,77465770,8.30,8.40,0.77,14.90,1.00,75.30,,,,
Iran ,2013,Developing,83,20,0.01,526.00,99.00,189,57.20,23,98,6.49,98.00,0.1,6018.00,76481961,8.20,8.30,0.77,15.00,1.00,75.04,,,,
Iran ,2012,Developing,85,21,0.01,512.00,98.00,332,56.00,24,99,6.98,99.00,0.1,7928.00,75539878,8.00,8.20,0.76,13.60,2.00,74.58,,,,
Iran ,2011,Developing,93,22,0.03,446.00,99.00,73,54.80,25,99,7.12,99.00,0.1,7781.00,74634957,7.90,8.10,0.75,13.10,2.00,74.11,,,,
Iran ,2010,Developing,116,22,0.03,371.00,99.00,538,53.60,26,99,8.20,99.00,0.1,6600.00,73762519,7.80,8.00,0.74,12.90,1.00,73.65,,,,
Iran ,2009,Developing,122,23,0.03,302.00,99.00,262,52.50,27,99,7.63,99.00,0.1,5710.00,72924837,7.70,7.90,0.73,12.80,1.00,73.18,,,,
Iran ,2008,Developing,135,24,0.02,248.00,99.00,127,51.40,28,99,6.28,99.00,0.1,5717.00,72120604,7.60,7.80,0.72,12.10,2.00,72.72,,,,
Iran ,2007,Developing,138,25,0.02,200.00,97.00,133,5.40,29,98,5.84,99.00,0.1,4905.00,71336475,7.50,7.80,0.70,11.80,1.00,72.41,,,,
Iran ,2006,Developing,139,26,0.02,175.00,98.00,220,49.40,30,99,5.95,98.00,0.1,3774.00,70554760,7.40,7.70,0.69,11.40,1.00,72.09,,,,
Iran ,2005,Developing,139,27,0.01,142.00,94.00,277,48.50,32,95,6.60,95.00,0.1,3246.00,69762347,7.40,7.70,0.69,11.40,1.00,71.78,,,,
Iran ,2004,Developing,139,28,0.01,117.00,95.00,302,47.60,33,98,5.89,99.00,0.1,2756.00,68951281,7.40,7.70,0.69,11.80,1.00,71.46,,,,
Iran ,2003,Developing,154,29,0.01,106.00,98.00,11644,46.90,35,99,5.42,99.00,0.1,2254.00,68122938,7.50,7.70,0.68,11.80,1.00,71.15,,,,
Iran ,2002,Developing,142,31,0.01,95.00,99.00,9554,46.20,37,99,5.39,99.00,0.1,1912.00,67284796,7.60,7.70,0.67,11.90,1.00,70.74,,,,
Iran ,2001,Developing,146,33,0.01,81.00,94.00,9582,45.50,40,95,5.20,96.00,0.1,1909.00,66449112,7.70,7.80,0.67,11.60,1.00,70.33,,,,
Iran ,2000,Developing,150,35,0.01,79.00,99.00,11874,44.90,43,99,4.47,99.00,0.1,1670.00,65623405,7.80,7.90,0.66,11.60,0.00,69.91,,,,
Mexico,2021,Developing,196,28,5.80,1998.30,85.00,2,65.60,35,87,5.60,84.00,0.1,8997.00,128173125,1.35,1.35,0.75,13.40,172.57,73.27,,,,
Mexico,2020,Developing,193,28,5.50,1980.20,83.00,1,65.80,33,85,6.00,83.00,0.1,9210.00,128275536,1.40,1.35,0.75,13.60,105.60,74.20,,,,
